unique_id,ds,y,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8
ECC|000000000000030853_All Other,2019/2/1,5150,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1325
ECC|000000000000030853_All Other,2019/3/1,4550,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1325
ECC|000000000000030853_All Other,2019/4/1,2950,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1325
ECC|000000000000030853_All Other,2019/5/1,2750,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1325
ECC|000000000000030853_All Other,2019/6/1,4500,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1325
ECC|000000000000030853_All Other,2019/7/1,3150,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1325
ECC|000000000000030853_All Other,2019/8/1,3200,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1325
ECC|000000000000030853_All Other,2019/9/1,4550,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1327
ECC|000000000000030853_All Other,2019/10/1,5450,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1325
ECC|000000000000030853_All Other,2019/11/1,3650,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1327
ECC|000000000000030853_All Other,2019/12/1,3250,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1325
ECC|000000000000030853_All Other,2020/1/1,3950,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1325
ECC|000000000000030853_All Other,2020/2/1,3700,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1325
ECC|000000000000030853_All Other,2020/3/1,4300,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1325
ECC|000000000000030853_All Other,2020/4/1,1941,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1325
ECC|000000000000030853_All Other,2020/5/1,100,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1327
ECC|000000000000030853_All Other,2020/6/1,400,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1327
ECC|000000000000030853_All Other,2020/7/1,0,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1327
ECC|000000000000030853_All Other,2020/8/1,0,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1327
ECC|000000000000030853_All Other,2020/9/1,0,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1327
ECC|000000000000030853_All Other,2020/10/1,100,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1327
ECC|000000000000030853_All Other,2020/11/1,0,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1327
ECC|000000000000030853_All Other,2020/12/1,0,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1327
ECC|000000000000030853_All Other,2021/1/1,50,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1327
ECC|000000000000030853_All Other,2021/2/1,100,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1327
ECC|000000000000030853_All Other,2021/3/1,0,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1327
ECC|000000000000030853_All Other,2021/4/1,100,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1327
ECC|000000000000030853_All Other,2021/5/1,0,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1327
ECC|000000000000030853_All Other,2021/6/1,50,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1325
ECC|000000000000030853_All Other,2021/7/1,100,ECC,30853,ECC|000000000000030853,IV Pump Delivery,Alaris Medley PCA,Extension (PCA/SYP),All Other,1325
