feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7
2016-01-01,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709,1.12
2016-02-01,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709,0.2
2016-03-01,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709,0.08
2016-04-01,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709,0.61
2016-05-01,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709,0.7000000000000001
2016-06-01,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709,2.3
2016-07-01,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709,0.2
2016-08-01,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709,0.6000000000000001
2016-09-01,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709,2.165
2016-10-01,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709,0.56
2016-11-01,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709,0.54
2016-12-01,007d4a1214289aea09b9759ae1324e96,d3d9446802a44259755d38e6d163e820,e0b6a143ffa58a10dad204db33440d1c,7fc56270e7a70fa81a5935b72eacbe29,6e5a24d315dfd580a31d1ce3c36dc709,0.7000000000000001
